1	4	True	1.889	228.97873234556343	65.4958189513478	てんぢく2000
15	5	True	2.451	163.51120618223672	75.1709479349969	竜と黒炎の姫君
45	5	No_Ren	0.000	90.70156962482919	76.7271136143048	蒼の旋律
60	5	True	6.412	99.61771812652707	86.58882369599787	夜桜謝肉祭
68	4	No_Ren	0.000	168.15072075005298	67.20711692897045	Calculator
73	4	No_Ren	0.000	128.4516835864643	74.24605309145274	Black Rose Apostle
73	5	No_Ren	0.000	42.44694645335666	90.81927094747608	Black Rose Apostle
80	5	No_Ren	0.000	252.42935842757416	50.84280826958338	練習曲Op.10-4
84	5	True	1.826	     NO DATA     	     NO DATA     	カルメン組曲一番終曲
94	4	True	2.650	287.82071396847186	45.16474982949966	弩蚊怒夏
95	5	No_Ren	0.000	123.95835652103472	75.20947124984617	白鳥の湖～still a duckling～
110	4	No_Ren	0.000	316.5596686313498	42.76656302709067	DEBSTEP!
118	5	No_Ren	0.000	154.85343978254042	65.33203257958772	さちさちにしてあげる♪
120	4	No_Ren	0.000	859.7334021604172	0.6989132406377531	ドンカマ2000
121	4	No_Ren	0.000	159.4010791040751	65.40436501706604	Doom Noiz
128	4	No_Ren	0.000	121.55214931376177	75.55515504826951	D's Adventure Note
131	4	True	2.500	211.1667378021637	63.78653607930876	EkiBEN2000
136	4	True	0.972	116.98896369696877	85.52508143602886	Evidence of evil
148	4	No_Ren	0.000	178.12628727435276	66.50785936797439	FUJIN Rumble
154	5	True	3.730	196.15364225049927	68.34092124662337	Garakuta Doll Play
156	5	True	2.880	379.2637306253125	35.85556684569604	KAGEKIYO 源平討魔伝メドレー
164	5	No_Ren	0.000	175.51851204173627	62.034740550476016	Got more raves?
171	4	True	5.076	189.93830927622483	70.2069335400408	重金属フューギティブ
179	4	True	1.571	157.3582609918211	74.99403964775587	はたラク2000
181	4	True	0.847	236.25886715482568	71.9423811163506	8OROCHI
181	5	True	0.847	407.9172859988519	44.56677255375732	8OROCHI
186	4	No_Ren	0.000	259.1423117737572	50.39100050315905	Hurtling Boys
194	4	True	0.935	270.9667145574815	59.70070721114017	Ignis Danse
202	5	True	10.40	179.1468107501813	62.41033186349515	Honey Heartbeat ～10 Stars Mix～
218	5	True	3.266	169.50849585519057	74.26950508467847	FLOWER
220	4	True	1.588	193.24340975268274	71.32233025406245	カラ鞠の花
222	5	True	3.503	186.56631041110424	68.00158549169127	メタナイトの逆襲メドレー
243	4	True	2.386	322.52435570159264	48.108096	万戈イム－一ノ十
264	5	True	3.281	571.1689562753966	15.725874183206695	メカデス。
265	4	True	1.506	196.6547831322801	73.64983991538838	〆ドレー2000
266	5	True	2.175	404.891198679999	25.41596959920138	ドドンガド～ン
269	4	True	4.437	402.82008663299086	34.59075530798215	メタルホーク BGM1
272	5	True	2.083	132.73940681671567	83.56075984739384	ミュージック・リボルバー
283	5	No_Ren	0.000	257.3530205019168	49.205038086469	初音ミクの消失‐劇場版‐
286	4	True	2.667	312.5116741785501	48.87628263952878	月読命
288	4	No_Ren	0.000	41.707330144071065	87.4256357550864	mint tears
309	5	No_Ren	0.000	250.87969764610807	42.23686154093303	ナイトメア・サバイバー
335	4	True	3.676	72.81742340555213	92.29620745303312	Purple Rose Fusion
336	4	True	4.427	590.8406275242771	9.45088142001131	Infinite Rebellion
338	4	True	2.928	148.4236405010831	78.86846795412214	きたさいたま2000
355	4	True	1.792	103.5037919285615	91.91850649093242	またさいたま2000
360	4	True	0.915	100.55091691110017	93.19163544196941	Angel Halo
361	5	True	1.830	227.61568301974904	65.57579486781607	Venomous
363	4	No_Ren	0.000	136.93657669760577	70.2747846842431	Kamikaze Remix
365	4	True	0.986	167.67925354597702	78.81091211995002	燎原ノ舞
371	4	True	2.594	89.68029421027606	87.26779115893801	旋風ノ舞【天】
371	5	True	2.594	169.6271391595331	67.79888563326675	旋風ノ舞【天】
388	4	No_Ren	0.000	56.58830835427189	86.60373573800469	そつおめしき
392	4	True	7.022	112.46068494052054	82.33591416594064	十露盤2000
393	4	No_Ren	0.000	235.92697720307015	49.93486523223342	双竜ノ乱
399	5	True	6.237	282.9287988982918	38.62104600694445	ピコピコ ルイン
400	5	True	6.237	105.55271927968509	82.9086126736111	セイクリッド ルイン
401	4	True	1.607	616.2860422592138	13.766455656336609	スーハー2000
402	5	True	5.700	247.42426648686782	54.99793078126521	Rotter Tarmination
404	4	No_Ren	0.000	137.23995589100866	69.74725817873379	タベルナ2000
414	5	No_Ren	0.000	69.71365271593541	82.62127006223733	チルノのパーフェクトさんすう教室
421	4	True	17.83	35.60665544961677	103.24546644232566	ネクロファンタジア ～ Arr.Demetori
425	5	No_Ren	0.000	110.31874763261385	77.63811615059315	タイコタイム
427	4	True	1.307	288.6113409873985	47.58556861602365	God Ray
441	4	True	0.315	294.22442093090604	61.262915407129	χ談
442	4	True	5.946	208.01468868269393	63.67958011698154	VERTeX
448	5	True	0.847	126.33506653417001	89.2559706992637	三瀬川乱舞
450	4	True	16.38	49.69373219373223	100.13736263736264	濃紅
451	5	No_Ren	0.000	219.4005943806655	44.565528485862814	Xa
452	4	True	1.711	122.7440605941773	83.362005491618	X-DAY2000
456	4	True	3.041	211.05464450233725	65.40613001237986	INSPION
463	4	True	1.583	331.6862118125384	39.13475988898412	幽玄ノ乱
477	4	No_Ren	0.000	124.08440728752576	72.85280293719981	紫煌ノ乱
493	5	True	1.554	379.93035985194626	36.37901956335421	ウルトラマンX
495	4	True	1.857	274.42108659190995	58.104982014225065	郢曲／暁闇
499	4	True	10.06	112.64668897991228	80.32871618928685	ノるどん2000
