
1	4
15	5
45	5
60	5
68	4
73	4
73	5
80	5
80	5
84	5
94	4
94	4
95	5
95	5
110	4
118	5
120	4
121	4
128	4
131	4
136	4
148	4
154	5
156	5
164	5
171	4
171	4
179	4
181	4
181	5
186	4
194	4
202	5
202	5
218	5
220	4
220	4
222	5
222	5
243	4
264	5
265	4
266	5
269	4
272	5
283	5
286	4
288	4
309	5
335	4
336	4
338	4
355	4
360	4
361	5
363	4
365	4
371	4
371	5
388	4
392	4
393	4
399	5
400	5
401	4
402	5
404	4
414	5
421	4
425	5
427	4
441	4
442	4
448	5
450	4
451	5
452	4
456	4
463	4
477	4
493	5
495	4
495	4
499	4
503	4
503	4
504	5
513	4
518	4
519	5
520	5
537	5
538	4
553	5
555	4
570	4
570	4
571	4
574	4
574	4
575	4
577	4
593	4
594	4
595	4
621	4
626	5
626	5
628	4
630	4
635	4
641	4
673	4
677	4
681	5
685	4
686	4
689	5
690	4
691	4
695	4
697	4
698	4
699	4
700	4
700	5
702	4
714	4
715	4
716	5
719	4
720	4
721	4
721	5
722	4
723	4
724	4
730	5
734	4
735	5
736	5
737	4
745	4
745	4
748	4
756	4
757	4
758	4
759	4
760	4
761	4
762	4
763	4
764	4
765	4
774	4
774	4
775	4
775	5
777	4
778	4
779	4
781	4
784	4
786	4
798	4
803	4
804	5
811	5
814	4
815	4
816	4
816	5
818	4
819	5
819	5
820	4
826	4
831	5
833	4
834	4
834	5
835	4
843	4
845	5
846	4
849	4
850	4
851	4
856	4
856	5
858	4
859	4
860	4
866	5
867	4
868	4
868	5
869	4
878	4
879	4
890	4
892	4
896	4
900	4
905	4
906	4
920	5
927	4
928	4
929	4
934	4
935	4
938	5
940	4
943	4
943	4
952	4
954	4
954	5
955	4
958	4
958	5
959	5
960	4
960	5
961	4
971	4
972	5
977	4
980	4
982	4
983	4
990	4
992	4
993	4
993	5
999	4
1012	4
1012	4
1020	5
1022	5
1027	5
1035	5
1037	4
1039	4
1040	4
1041	4
1042	4
1043	4
1043	5
1048	4
1049	4
1050	4
1066	4
1067	4
1068	4
1071	4
1072	4
1072	5
1080	5
1081	5
1085	4
1086	4
1097	5
1099	4
1100	5
1104	4
1106	4
1108	4
1108	4
1120	5
1121	4
1121	5
1122	5
1129	4
1129	5
1133	5
1133	5
1134	4
1144	5
1145	5
1146	5
1147	4
1154	4
1158	4
1168	5
1171	5
1172	4
1173	4
1185	4
1196	5
1197	5
1201	5
1214	5
1215	5
1216	4
1216	5
1220	5
1221	5
1223	5
1227	4
1227	5
1229	4
1236	4
1236	4
